iter	Passed	Remaining
1423	15009	801
1424	15020	790
1425	15031	780
1426	15042	769
1427	15052	758
1428	15063	748
1429	15075	737
1430	15087	727
1431	15098	716
1432	15109	706
1433	15120	695
1434	15130	685
1435	15142	674
1436	15153	664
1437	15165	653
1438	15177	643
1439	15188	632
1440	15200	622
1441	15211	611
1442	15222	601
1443	15234	590
1444	15245	580
1445	15257	569
1446	15269	559
1447	15281	548
1448	15294	538
1449	15306	527
1450	15318	517
1451	15328	506
1452	15340	496
1453	15351	485
1454	15362	475
1455	15374	464
1456	15386	454
1457	15397	443
1458	15408	433
1459	15419	422
1460	15430	411
1461	15442	401
1462	15453	390
1463	15465	380
1464	15476	369
1465	15487	359
1466	15499	348
1467	15510	338
1468	15521	327
1469	15534	317
1470	15545	306
1471	15556	295
1472	15567	285
1473	15578	274
1474	15589	264
1475	15600	253
1476	15611	243
1477	15622	232
1478	15633	221
1479	15645	211
1480	15656	200
1481	15668	190
1482	15678	179
1483	15689	169
1484	15701	158
1485	15712	148
1486	15723	137
1487	15735	126
1488	15746	116
1489	15753	105
1490	15763	95
1491	15774	84
1492	15785	74
1493	15796	63
1494	15807	52
1495	15818	42
1496	15829	31
1497	15842	21
1498	15853	10
1499	15864	0
